Gen_sp,Lecticity
Agapostemon_sericeus,Polylectic
Agapostemon_splendens,Polylectic
Agapostemon_texanus,Polylectic
Agapostemon_virescens,Polylectic
Andrena_banksi,Polylectic
Andrena_barbara,Polylectic
Andrena_bradleyi,Oligolectic
Andrena_carlini,Polylectic
Andrena_carolina,Oligolectic
Andrena_fenningeri,Polylectic
Andrena_ilicis,Polylectic
Andrena_imitatrix,Polylectic
Andrena_mandibularis,Polylectic
Andrena_vicina,Polylectic
Augochlora_pura,Polylectic
Augochlorella_aurata,Polylectic
Augochloropsis_metallica,Polylectic
Augochloropsis_sumptuosa,Polylectic
Bombus_bimaculatus,Polylectic
Bombus_griseocollis,Polylectic
Bombus_impatiens,Polylectic
Bombus_perplexus,Polylectic
Bombus_vagans,Polylectic
Calliopsis_andreniformis,Polylectic
Ceratina_calcarata_dupla_miqmaki,Polylectic
Ceratina_calcarata_dupla_miqmaki,Polylectic
Ceratina_strenua,Polylectic
Coelioxys_immaculata,Polylectic
Coelioxys_porterae,Polylectic
Colletes_inaequalis,Polylectic
Colletes_thoracicus,Polylectic
Colletes_validus,Polylectic
Habropoda_laboriosa,Oligolectic
Halictus_confusus,Polylectic
Halictus_ligatus,Polylectic
Halictus_parallelus,Polylectic
Halictus_rubicundus,Polylectic
Heriades_carinatus,Polylectic
Hoplitis_truncata,Polylectic
Hylaeus_affinis,Polylectic
Lasioglossum_acuminatum,Polylectic
Lasioglossum_admirandum,Polylectic
Lasioglossum_albipenne,Polylectic
Lasioglossum_apopkense,Polylectic
Lasioglossum_bruneri,Polylectic
Lasioglossum_coriaceum,Polylectic
Lasioglossum_creberrimum,Polylectic
Lasioglossum_cressonii,Polylectic
Lasioglossum_ephialtum,Polylectic
Lasioglossum_fuscipenne,Polylectic
Lasioglossum_georgeickworti,Polylectic
Lasioglossum_illinoense,Polylectic
Lasioglossum_imitatum,Polylectic
Lasioglossum_leucocomum,Polylectic
Lasioglossum_lineatulum,Polylectic
Lasioglossum_mitchelli,Polylectic
Lasioglossum_nymphaearum,Polylectic
Lasioglossum_oblongum,Polylectic
Lasioglossum_obscurum,Polylectic
Lasioglossum_paradmirandum,Polylectic
Lasioglossum_pectorale,Polylectic
Lasioglossum_pilosum,Polylectic
Lasioglossum_rozeni,Polylectic
Lasioglossum_smilacinae,Polylectic
Lasioglossum_subviridatum,Polylectic
Lasioglossum_tegulare,Polylectic
Lasioglossum_trigeminum,Polylectic
Lasioglossum_truncatum,Polylectic
Lasioglossum_versatum,Polylectic
Lasioglossum_weemsi,Polylectic
Lasioglossum_zephyrum,Polylectic
Megachile_addenda,Polylectic
Megachile_gemula,Polylectic
Megachile_mendica,Polylectic
Megachile_texana,Polylectic
Melissodes_bimaculata,Polylectic
Melitta_americana,Oligolectic
Nomada_luteola,Polylectic
Nomada_rodecki,Polylectic
Osmia_inspergens,Polylectic
Osmia_pumila,Polylectic
Osmia_virga,Oligolectic
Panurginus_atramontensis,Polylectic
Peponapis_pruinosa,Oligolectic
Sphecodes_aroniae,Polylectic
Sphecodes_fattigi,Polylectic
Sphecodes_stygius,Polylectic
Triepeolus_remigatus,Polylectic
Xylocopa_virginica,Polylectic
