"Gen_sp","Nest_place","Nest_construction","Sociality","Parasitic","ITfam","PDrar20","tongue","family","visitation_wt","visitation_cb","visitation_bb"
"Agapostemon_sericeus","soil","Excavator","fac_social","No",1.9,861.975639972715,3.096,"Halictidae",3,NA,NA
"Agapostemon_splendens","soil","Excavator","fac_social","No",2.38428571428571,861.975639972715,3.17792066580592,"Halictidae",NA,1,NA
"Agapostemon_texanus","soil","Excavator","fac_social","No",1.874,819.844326619581,3.492,"Halictidae",2,NA,NA
"Agapostemon_virescens","soil","Excavator","fac_social","No",2.16,904.10695332585,3.738375,"Halictidae",4,NA,NA
"Andrena_banksi","soil","Excavator","Solitary","No",2.10943520021645,1268.53036342622,1.857515848,"Andrenidae",NA,NA,NA
"Andrena_barbara","soil","Excavator","Solitary","No",1.93863636363636,1401.84099606833,2.00125470404649,"Andrenidae",NA,NA,NA
"Andrena_bradleyi","soil","Excavator","Solitary","No",2.03333333333333,424,2.27267440407143,"Andrenidae",NA,NA,28
"Andrena_carlini","soil","Excavator","Solitary","No",2.69642857142857,1799.59426696223,2.36152545066667,"Andrenidae",NA,NA,NA
"Andrena_carolina","soil","Excavator","Solitary","No",1.7,1401.84099606833,2.171364533,"Andrenidae",NA,NA,NA
"Andrena_cressonii","soil","Excavator","Solitary","No",1.75,1724.0946,1.84724072,"Andrenidae",NA,NA,1
"Andrena_fenningeri","soil","Excavator","Solitary","No",1.94583333333333,1401.84099606833,1.532266477,"Andrenidae",NA,NA,1
"Andrena_ilicis","soil","Excavator","Solitary","No",2.10943520021645,1401.84099606833,2.17022822057897,"Andrenidae",NA,NA,NA
"Andrena_imitatrix","soil","Excavator","Solitary","No",1.9,1564.43088058616,1.4708337449,"Andrenidae",NA,1,NA
"Andrena_mandibularis","soil","Excavator","Solitary","No",2.18,1401.84099606833,2.23987663312592,"Andrenidae",NA,NA,NA
"Andrena_morrisonella","soil","Excavator","Solitary","No",1.475,1401.841,1.40918620175,"Andrenidae",NA,NA,3
"Andrena_vicina","soil","Excavator","Solitary","No",2.48125,1952.64946936702,2.681953382875,"Andrenidae",NA,3,8
"Augochlora_pura","wood","Excavator","Solitary","No",1.595,1663.80479588713,2.75409523809524,"Halictidae",50,5,3
"Augochlorella_aurata","soil","Excavator","Eusocial","No",1.5337500000625,1778.90978378416,2.4267,"Halictidae",16,66,1
"Augochloropsis_metallica","soil","Excavator","Solitary","No",1.905,1151.20022137369,2.32,"Halictidae",1,5,NA
"Augochloropsis_sumptuosa","soil","Excavator","Solitary","No",2.07636363636364,1151.2002,2.7828536295576,"Halictidae",NA,13,NA
"Bombus_bimaculatus","cavity","Non_excavator","Eusocial","No",3.7375,1422.26910245981,9.99285185185185,"Apidae",1,64,4
"Bombus_griseocollis","cavity","Non_excavator","Eusocial","No",4.34285714290476,1047.7253108721,9.19680597014925,"Apidae",1,39,9
"Bombus_impatiens","cavity","Non_excavator","Eusocial","No",4.511,1333.72735764887,10.1363448275862,"Apidae",93,105,8
"Bombus_perplexus","cavity","Non_excavator","Eusocial","No",3.66882352947059,1377.15076164547,8.30811764705882,"Apidae",NA,27,6
"Bombus_vagans","cavity","Non_excavator","Eusocial","No",3.11583333345,1119.86113181672,8.911,"Apidae",NA,11,NA
"Calliopsis_andreniformis","soil","Excavator","Solitary","No",1.24,1280.79191733599,3.119,"Andrenidae",2,NA,NA
"Ceratina_calcarata_dupla_miqmaki","stem","Excavator","fac_social","No",1.27380952383333,1208.67869025538,2.68707578602222,"Apidae",25,1,NA
